Registration Number,Association Name,State,Cancellation Type,Cancellation Year
146960008,Laskarhat Emmanuel Mission School,West Bengal,On Violation,2019
146920063,LALMATI CHETANA,West Bengal,On Violation,2019
147000213,KUSHODANGA NARIOSISHU KALYAN SAMITY,West Bengal,On Violation,2019
147110873,KOLKATA UNITED PENTECOSTAL CHURCH,West Bengal,On Violation,2019
147000158,Khurut Uday Tiratha,West Bengal,On Violation,2019
147050062,Khargram Samaj Seba Kendra,West Bengal,On Violation,2019
147050081,KHARGRAM BLOCK WOMEN UNNAYAN KENDRA,West Bengal,On Violation,2019
147110327,Keyakona Nabarun Sangha,West Bengal,On Violation,2019
147060117,KARIMPUR PIONEER WELFARE SOCIETY,West Bengal,On Violation,2019
147110181,KAORAKHALI JANASEVASHRAM,West Bengal,On Violation,2019
136280042,CHRISTIAN SOCIAL SERVICE SOCIETY,Uttar Pradesh,On Violation,2019
137370002,Children's Welfare Society,Uttar Pradesh,On Violation,2019
136230008,Central Primary Basic Girls School,Uttar Pradesh,On Violation,2019
136410004,Canosa Convent (cannosians Faizabad),Uttar Pradesh,On Violation,2019
136550435,Cancer Control Society,Uttar Pradesh,On Violation,2019
136480011,Bundelkhand Gramodyog Seva Sansthan,Uttar Pradesh,On Violation,2019
136470127,BIOFARM SEVA SANSTHAN,Uttar Pradesh,On Violation,2019
136810045,Bhartiya Association For Rural Development,Uttar Pradesh,On Violation,2019
136550196,Beti Foundation,Uttar Pradesh,On Violation,2019
136600053,Begum Noor Jehan Foundation,Uttar Pradesh,On Violation,2019
137370007,Asian Environment Sociological Society,Uttar Pradesh,On Violation,2019
136530048,Anjuman Itiithad Millat ( Regd.),Uttar Pradesh,On Violation,2019
136470082,ANAND GRAMODYOG,Uttar Pradesh,On Violation,2019
136720012,Amethi Jan Sewa Samiti,Uttar Pradesh,On Violation,2019
136230004,Allahabad Grama Swarajya Samiti,Uttar Pradesh,On Violation,2019
136230002,Allahabad Agricultural Institute,Uttar Pradesh,On Violation,2019
136680033,ALL INDIA DEVELOPMENT AND MANEGEMENT ACADEMY,Uttar Pradesh,On Violation,2019
