State,Reg No,Association,Address,Nature
Andhra Pradesh,10140022,Grama Seva Samithi,"Chittoor District, Andhra Pradesh.-","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140028,Zion Home,"Eden Gardens, Kaani P.O., Sathiyavedu Taluk-","Religious(Christian) ,"
Andhra Pradesh,10140051,South Andhra Lutheran Church,"Chittoor District, Andhra Pradesh.517507-511507","Religious(Christian) ,"
Andhra Pradesh,10140061,Praja Abyvdaya Samstha,"176-Brahimini Street, Rama Kuppam, -","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140079,Young Men's Christian Association,"Puttor, Opp. T.V.Road, Puttoor, Distt. Chittoor, A.P.-517583","Religious(Others) ,Social "
Andhra Pradesh,10140087,Socio-Education & Economic Development Society,"Gangireddy Palli P.O. K.V.Pura, Distt. Chittoor, A.P.-","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140124,Krushi Samstha,"R.N.Colony, Madanapalli, Chittoor Distt.-","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140141,Grama Jana Seva Samithi,"Kamathampalle Vill., Bheemagari Palle, P.O. Punganur-","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140144,Health Education Economic Development Society,"28-1145, Grace Land, Chittoor, A.P.-","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140178,Margadarshi,"D.NO.19/29 J.P. Road, New pet, Kuppam-517425","Cultural ,Economic ,Social "
Andhra Pradesh,10140186,Rural Education & Economic Development Society,"21-155, Medara Street, Puttur-","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140188,Rural Organisation for Social Education,"D.NO.19-3-2/G4, Srinivasa Puram, Tirupati-517501","Cultural ,Educational ,Social "
Andhra Pradesh,10140191,Seva Sadan,"297, Bhavani Nagar, Tirupati, Distt. Chittoor, A.P.-517501",Social 
Andhra Pradesh,10140227,Rural India Medical & Relief Society,"Kuppam Road, POST-Baireddipalle, Distt. Chittoor-517415",Social 
Andhra Pradesh,10140237,"Society of People's Research, Environmental Affairs and Development Service","GOPALPURAM VILLAGE, , VELLORE ROAD, NARIGAPALLI POST-517002","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140240,Akshaya Kshetram,"18-1-90/A, Yasoda Ng KT Road, Tirupati Chittoor-517507",Social 
Andhra Pradesh,10140285,"Indian Epilepsy Association, Tirupati Branch","C/o. Department of Neurology, Sri Venkateswara Institute of -517507",Social 
Andhra Pradesh,10140289,Sunrise Social Development Society,"1-199, Ramar Koil street, Kattamanchi, Chittoor-517001","Economic ,Social "
Andhra Pradesh,10140318,Jana Jagruthi Samiti,"Charala Village, Aragonda Post, Thavanampalli Mandal-517129","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140333,Animal Care Land,"H.No. 13-6-600-44-39, Peddakapu Layout, Tirupati-517501",Social 
Andhra Pradesh,10140354,Movement for Economic Reconstruction and Community Integration,"Door No. IV-20-4-A-5-3, Krishna Nagar, Madanapalle-517325","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140356,Mercy Social Welfare Voluntary Organisation,"D.No.M.G.26, A.P.Housing Board Clny., Panagal, Srikalahasti-517640","Economic ,Educational ,Social "
Andhra Pradesh,10140359,Rural Development for Socio - Economic Chance Organisation,"Keelagaram Village, Narayanavaram PO and Mandal-517581","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140362,Sneha Society,"2/36, II Cross, Thallasubanna Colony, Near Mothi Nagar, Madanapalle-517325","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140367,Rayalaseema Environment Building and Education Development Society,"Door No.7-112A, Sathyanarayanapuram, Tirupati Rural Mandal-517501","Cultural ,Educational ,Social "
Andhra Pradesh,10140393,Sri Srinivasadasara Annadanam Trust,"1/26, Tank Street, Tiruchanoor, , Chittoor, Andhra Pradesh-517503",Social 
Andhra Pradesh,10140395,Social Welfare Association for global reconstruction and managements,"A. Rangampet, po & Vill., Town/City: Chandragiri, -517102","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140404,Socio Economic Educational Development Society,"D.NO. 2-144, Tirupati Road, , Piler, Distt: Chittoor, -517214",Social 
Andhra Pradesh,10140417,RURAL PHYSICALLY HANDICAPPED CENTRE FOR REHABILITATION,"Police Line, Opp. Forest Park, Near D.S.P Office, Palamaner-517408, Chittoor District, , CHITTOOR, 517408","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140425,SEVANIKETHAN EDUCATIONAL AND HEALTH ASSOCIATION,"19 8 140 23 HATHIRAMJI COLONY NORTH BAIRAGI PATTEDA, TIRUPATI, 517501",Social 
Andhra Pradesh,10140433,RURAL PEASANT AND SELF HELP GROUPS MULTIPURPOSE MUTUALLY AIDED COOPERATIVE CREDIT SOCIETY LIMITED,"Seetharampettai Village Ambakkam Post Sathyavedu mandal, Sathyavedu, 517588","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140446,Jabies Christian and Rural Development Society,"Buchi Naidu Kandiga Village, Nandimangalam Post, Puttur, 517583","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140448,Jeevana Jyothi Vikalangula Seva Samithi,"K Batavaripalli Village Kalakada Post Kalakada Mandal, Kalakada, 517326","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140449,SRI VIKAS EDUCATIONAL SOCIETY,"mangalam road akkarampalli post, TIRUPATI, 517502","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140450,MOTHER TERESA YUVAJANA SEVA SANGAM,"1 22 C R KANDRIGA VILLAGE VEDURUKUPPAM POST MANDAL, VEDURUKUPPAM, 517569",Social 
Andhra Pradesh,10140451,ORGANISATION FOR HEALTH EDUCATION AND EMPOWERMENT,"14 517 2 LAKSHMI LAYOUT KUPPAM POST AND MANDAL CHITTOOR DT AP, KUPPAM, 517425","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140453,RURAL DEVELOPMENT SOCIETY,"GARNIMITTA VILLAGE, KHAMBHAMVARIPALLI, 517213","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140455,PIONEER C SOFTWARE SOLUTIONS AND WELFARE ASSOCIATION,"6 49 1 R F ROAD CHURCH STREET CHANDRAGIRI POST AND MANDAL, CHANDRAGIRI, 517101","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140456,Social Integrated Rural Development Society,"7-221 1St Floor Santhi Nagar, Tirupati, 517502","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140457,AL MARIF TRUST,"Maseehabad, Palamaner, 517408","Educational ,Social "
Andhra Pradesh,10140458,Rural Development and Social Service Society,"7/38 Thiramalesh Reddy Apartments Pillapalem Post Renigunta Mandal Chittur District, Renigunta, 517520","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140459,TIRUMALA TIRUPATI DEVASTHANAMS,"TIRUMALA TIRUPATI DEVASTHANAMS K T ROAD, TIRUPATI, 517501","Religious(Hindu) ,Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10140460,LAKSHMI SRI VENKATESWARA SWAMY GNANA PEETAM,"11-48-02 PULAVANIGUNTA RENIGUNTA ROAD TIRUPATI CHITTOOR DISTRICT ANDHRA PRADESH, TIRUPATI, 517501","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10160007,Maitreesadan Social Centre,"Ralayapalli, Chennapalli-","Religious(Christian) ,Social "
Andhra Pradesh,10160028,Integrated Rural Development Service Society,"Sanjeevaiah Nagar, Proddatur-","Economic ,Educational ,Social "
Andhra Pradesh,10160101,Vijaya Vidyaodaya Samajam,"10/298 Koemtikala Street, Proddatur-","Educational ,"
Andhra Pradesh,10160110,Kasturiba Mahila Mandali,"7/127 - 1, N.G.O. Colony, Sankarapuram (PO)-516002","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10160142,Wisdom Centre,"D.No.5/500 Munirao Street, Kadapa, 516001",Social 
Andhra Pradesh,10160191,The Social Service Centre,"Balaga Thope, Srikakulam-",Social 
Andhra Pradesh,10160204,Community Development Society for Weaker Sections,"1/1207 Ankalammapet Pulivendla, Cuddapah-516390",Social 
Andhra Pradesh,10160208,Power,"19-191 Jail Khana St Mittoor, Chittoor-",Social 
Andhra Pradesh,10160213,Jagajeevan Balaheena Varga Abhivruddi,"Sangam, 6-45, Kateeb Street-",Social 
Andhra Pradesh,10160226,Action in Development,"L.M. Compound Pulivendla, Cuddapah-516390",Social 
Andhra Pradesh,10160231,Harijana Youth Welfare Association,"13/117, Saini Thapuram, Mydukur, Dist Cuddapah-516172",Social 
Andhra Pradesh,10160239,Helpless Poor Development Organisation Society,"V&PO N. Palagiri Veerapunyampalli, Cuddapah-","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10160240,Aran Jyothi Mahila Mandali,,"Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10160256,Padmavathi Mahila Mandali,"7/555-B, N.G.Os Colony, Sankarapuram-516002","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10160262,Alpha Educational Society,"Saipet, Cuddapah Distt.-516001","Educational ,Social "
Andhra Pradesh,10160267,Sai Education Society,"7-166, N.G.O.Colony, Sankarapuram, Cuddapah-516002",Social 
Andhra Pradesh,10160271,Sree Sakthi Mahila Mandali,"7-166, N.G.O.Colony, Cuddapah, Andhra Pradesh-516002","Cultural ,Economic ,Social "
Andhra Pradesh,10160320,Divya Jyothi Mahila Mandali,"Kotlur Village and Post, Vallur Mandal-516203",Social 
Andhra Pradesh,10160325,Sri Bala Bharati English Medium School Society,"D. No. 4/335, Bhagya Nagar Colony, Khajipet, Cuddapah-516203","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10160339,Rural Development Society,"D. No.7/307/2-B, Bhagyanagar Colony, Cuddapah District-516002",Social 
Andhra Pradesh,10160353,Integrated Community Development Organisation,"3-570/2, Raja Reddy Street, Cuddapah-","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10160361,Bethestha Integrated Rural Development Service Society,"D.No. 26/914-1, Nagendra Nagar, , Proddatur, Kadapa Distt.-516360",Social 
Andhra Pradesh,10160373,Disabled Rural Development Society,"6/736, Sankarapuram, Cuddapah-516002",Social 
Andhra Pradesh,10160383,Rural Education for Action Development Society,"Door No. 6/33, Galiveedu, Cuddapah-516267","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10160397,Indira Mahila Mandali,"D.No.7/547-3, NGO Colony, Kadapa (Andhra Pradesh)-516002","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10160398,St. Anthony's Trust,"D.No.6/121, Reddy Nagar, Porumamilla, Kadapa-516193",Social 
Andhra Pradesh,10160403,Al Mohammadiya Bythulmaal Association,"2/552 Eswarsingh Street, Nagarajapet, Cuddapah-516001",Social 
Andhra Pradesh,10160418,Women Organisation for Rural Development (WORD),"#3/374-4-1, Akkayapalli, Kadapa, 516003","Cultural ,Educational ,Social "
Andhra Pradesh,10160424,BEST VILLAGE DEVELOPMENT SANGASM,"P.ERREPALLI VILLAGE AND POST, IRALA MANDAL, 517130","Cultural ,Educational ,Social "
Andhra Pradesh,10160452,COMMUNITY HEALTH RURAL INTEGRATED SERVICE TRUST,"2/19-3 C.S.I COMPOUND R.S ROAD, KADAPA, 516001","Educational ,Social "
Andhra Pradesh,10160458,rainbow rural development society,"SN colony, Rayachoty, 516269","Religious(Others) ,Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10160460,SRI SAI BRAHMENDRA EDUCATIONAL CULTURAL AND RURAL DEVELOPMENT SOCIETY,"20 1049 4A UPSTAIRS CO OPERATIVE COLONY KADAPA, KADAPA, 516001",Social 
Andhra Pradesh,10160461,Sri Parandhama Central Charitable Trust,"1-95 Annamarajugaripailli Sibyala Rayachoti Kadapa District, Kadapa, 516269","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10160462,Alluri Yuvajana Seva Sangam,"Bommavaram village Obulavaripalli mandal YSR District Andra pradesh, Obulavaripalli, 516110","Cultural ,Economic ,Educational ,Social "
